tract_geoid,tract_name,county_geoid,county_name,county_full_name,health_ins_total,health_ins_pct,acs_health_score
37179020313,"Census Tract 203.13, Union County, North Carolina",37179,Union,Union County,422,0.18,1.1244428452310766
37179020501,"Census Tract 205.01, Union County, North Carolina",37179,Union,Union County,941,0.17,0.9594152947307952
37181960500,"Census Tract 9605, Vance County, North Carolina",37181,Vance,Vance County,515,0.12,0.1342775422293864
37133000403,"Census Tract 4.03, Onslow County, North Carolina",37133,Onslow,Onslow County,202,0.15,0.6293601937302316
37133000800,"Census Tract 8, Onslow County, North Carolina",37133,Onslow,Onslow County,0,0,-1.846053063773994
37133002500,"Census Tract 25, Onslow County, North Carolina",37133,Onslow,Onslow County,450,0.14,0.4643326432299501
37133990100,"Census Tract 9901, Onslow County, North Carolina",37133,Onslow,Onslow County,0,0,-1.846053063773994
37135011601,"Census Tract 116.01, Orange County, North Carolina",37135,Orange,Orange County,53,0.02,-1.5159979627734306
37139960200,"Census Tract 9602, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,680,0.15,0.6293601937302316
37147000100,"Census Tract 1, Pitt County, North Carolina",37147,Pitt,Pitt County,472,0.08,-0.5258326597717404
37149920200,"Census Tract 9202, Polk County, North Carolina",37149,Polk,Polk County,471,0.1,-0.1957775587711769
37129010100,"Census Tract 101, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,390,0.17,0.9594152947307952
37129011606,"Census Tract 116.06, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,922,0.18,1.1244428452310766
37119005843,"Census Tract 58.43, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,49,0.02,-1.5159979627734306
37119005915,"Census Tract 59.15, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,244,0.11,-0.03075000827089525
37119006203,"Census Tract 62.03, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,453,0.09,-0.36080510927145876
37087920900,"Census Tract 9209, Haywood County, North Carolina",37087,Haywood,Haywood County,247,0.13,0.29930509272966827
37021003201,"Census Tract 32.01, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,169,0.09,-0.36080510927145876
37025040702,"Census Tract 407.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,791,0.11,-0.03075000827089525
37025040800,"Census Tract 408, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,502,0.13,0.29930509272966827
37025041901,"Census Tract 419.01, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,567,0.24,2.114608148232767
37089931200,"Census Tract 9312, Henderson County, North Carolina",37089,Henderson,Henderson County,389,0.18,1.1244428452310766
37097060601,"Census Tract 606.01, Iredell County, North Carolina",37097,Iredell,Iredell County,315,0.06,-0.8558877607723039
37097061204,"Census Tract 612.04, Iredell County, North Carolina",37097,Iredell,Iredell County,165,0.05,-1.0209153112725855
37081015703,"Census Tract 157.03, Guilford County, North Carolina",37081,Guilford,Guilford County,342,0.06,-0.8558877607723039
37081016305,"Census Tract 163.05, Guilford County, North Carolina",37081,Guilford,Guilford County,46,0.01,-1.6810255132737124
37083930200,"Census Tract 9302, Halifax County, North Carolina",37083,Halifax,Halifax County,281,0.06,-0.8558877607723039
37119001505,"Census Tract 15.05, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,824,0.24,2.114608148232767
37119001702,"Census Tract 17.02, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1777,0.3,3.104773451234457
37119980300,"Census Tract 9803, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,0,0,-1.846053063773994
37125950900,"Census Tract 9509, Moore County, North Carolina",37125,Moore,Moore County,492,0.2,1.4544979462316403
37119001923,"Census Tract 19.23, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,958,0.21,1.6195254967319217
37119003017,"Census Tract 30.17, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,112,0.03,-1.350970412273149
37119003109,"Census Tract 31.09, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1466,0.34,3.7648836532355845
37191000500,"Census Tract 5, Wayne County, North Carolina",37191,Wayne,Wayne County,11,0.01,-1.6810255132737124
37191001900,"Census Tract 19, Wayne County, North Carolina",37191,Wayne,Wayne County,581,0.13,0.29930509272966827
37195000100,"Census Tract 1, Wilson County, North Carolina",37195,Wilson,Wilson County,697,0.19,1.2894703957313585
37195001400,"Census Tract 14, Wilson County, North Carolina",37195,Wilson,Wilson County,543,0.06,-0.8558877607723039
37199960400,"Census Tract 9604, Yancey County, North Carolina",37199,Yancey,Yancey County,315,0.07,-0.690860210272022
37183053509,"Census Tract 535.09, Wake County, North Carolina",37183,Wake,Wake County,341,0.06,-0.8558877607723039
37183053718,"Census Tract 537.18, Wake County, North Carolina",37183,Wake,Wake County,106,0.03,-1.350970412273149
37183054001,"Census Tract 540.01, Wake County, North Carolina",37183,Wake,Wake County,689,0.14,0.4643326432299501
37019020511,"Census Tract 205.11, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,404,0.17,0.9594152947307952
37021001000,"Census Tract 10, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,661,0.14,0.4643326432299501
37101040700,"Census Tract 407, Johnston County, North Carolina",37101,Johnston,Johnston County,673,0.18,1.1244428452310766
37105030300,"Census Tract 303, Lee County, North Carolina",37105,Lee,Lee County,545,0.23,1.9495805977324856
37107010400,"Census Tract 104, Lenoir County, North Carolina",37107,Lenoir,Lenoir County,132,0.17,0.9594152947307952
37109070201,"Census Tract 702.01, Lincoln County, North Carolina",37109,Lincoln,Lincoln County,717,0.16,0.7943877442305134
37183054018,"Census Tract 540.18, Wake County, North Carolina",37183,Wake,Wake County,350,0.11,-0.03075000827089525
37185950400,"Census Tract 9504, Warren County, North Carolina",37185,Warren,Warren County,482,0.13,0.29930509272966827
37189920500,"Census Tract 9205, Watauga County, North Carolina",37189,Watauga,Watauga County,94,0.01,-1.6810255132737124
37041930102,"Census Tract 9301.02, Chowan County, North Carolina",37041,Chowan,Chowan County,337,0.14,0.4643326432299501
37047930500,"Census Tract 9305, Columbus County, North Carolina",37047,Columbus,Columbus County,624,0.15,0.6293601937302316
37049960300,"Census Tract 9603, Craven County, North Carolina",37049,Craven,Craven County,890,0.13,0.29930509272966827
37119004303,"Census Tract 43.03, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,702,0.24,2.114608148232767
37119005511,"Census Tract 55.11, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,506,0.13,0.29930509272966827
37119005522,"Census Tract 55.22, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,362,0.08,-0.5258326597717404
37119005609,"Census Tract 56.09, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,409,0.12,0.1342775422293864
37119005713,"Census Tract 57.13, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,153,0.04,-1.1859428617728671
37119005831,"Census Tract 58.31, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,417,0.09,-0.36080510927145876
37063001503,"Census Tract 15.03, Durham County, North Carolina",37063,Durham,Durham County,22,0.01,-1.6810255132737124
37063001709,"Census Tract 17.09, Durham County, North Carolina",37063,Durham,Durham County,920,0.13,0.29930509272966827
37063002021,"Census Tract 20.21, Durham County, North Carolina",37063,Durham,Durham County,307,0.07,-0.690860210272022
37115010100,"Census Tract 101, Madison County, North Carolina",37115,Madison,Madison County,402,0.14,0.4643326432299501
37115010500,"Census Tract 105, Madison County, North Carolina",37115,Madison,Madison County,529,0.13,0.29930509272966827
37117970400,"Census Tract 9704, Martin County, North Carolina",37117,Martin,Martin County,216,0.1,-0.1957775587711769
37119000300,"Census Tract 3, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,3,0,-1.846053063773994
37119000800,"Census Tract 8, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,632,0.2,1.4544979462316403
37067003003,"Census Tract 30.03, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,275,0.08,-0.5258326597717404
37067003202,"Census Tract 32.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,514,0.13,0.29930509272966827
37189920800,"Census Tract 9208, Watauga County, North Carolina",37189,Watauga,Watauga County,187,0.08,-0.5258326597717404
37191000601,"Census Tract 6.01, Wayne County, North Carolina",37191,Wayne,Wayne County,1030,0.23,1.9495805977324856
37191001400,"Census Tract 14, Wayne County, North Carolina",37191,Wayne,Wayne County,660,0.1,-0.1957775587711769
37193960400,"Census Tract 9604, Wilkes County, North Carolina",37193,Wilkes,Wilkes County,636,0.08,-0.5258326597717404
37159052000,"Census Tract 520, Rowan County, North Carolina",37159,Rowan,Rowan County,252,0.12,0.1342775422293864
37161960200,"Census Tract 9602, Rutherford County, North Carolina",37161,Rutherford,Rutherford County,871,0.12,0.1342775422293864
37083930300,"Census Tract 9303, Halifax County, North Carolina",37083,Halifax,Halifax County,597,0.13,0.29930509272966827
37053110102,"Census Tract 1101.02, Currituck County, North Carolina",37053,Currituck,Currituck County,206,0.14,0.4643326432299501
37055970601,"Census Tract 9706.01, Dare County, North Carolina",37055,Dare,Dare County,1004,0.14,0.4643326432299501
37057060302,"Census Tract 603.02, Davidson County, North Carolina",37057,Davidson,Davidson County,293,0.07,-0.690860210272022
37057061000,"Census Tract 610, Davidson County, North Carolina",37057,Davidson,Davidson County,748,0.16,0.7943877442305134
37061090400,"Census Tract 904, Duplin County, North Carolina",37061,Duplin,Duplin County,1004,0.19,1.2894703957313585
37179020701,"Census Tract 207.01, Union County, North Carolina",37179,Union,Union County,611,0.11,-0.03075000827089525
37063000200,"Census Tract 2, Durham County, North Carolina",37063,Durham,Durham County,970,0.3,3.104773451234457
37117970500,"Census Tract 9705, Martin County, North Carolina",37117,Martin,Martin County,580,0.11,-0.03075000827089525
37119000700,"Census Tract 7, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,63,0.07,-0.690860210272022
37119001605,"Census Tract 16.05, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,678,0.36,4.094938754236147
37119001910,"Census Tract 19.10, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1789,0.3,3.104773451234457
37119001919,"Census Tract 19.19, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,864,0.21,1.6195254967319217
37119002100,"Census Tract 21, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,321,0.12,0.1342775422293864
37119002600,"Census Tract 26, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,106,0.11,-0.03075000827089525
37119003008,"Census Tract 30.08, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,657,0.11,-0.03075000827089525
37019020201,"Census Tract 202.01, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,413,0.1,-0.1957775587711769
37019020309,"Census Tract 203.09, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,166,0.05,-1.0209153112725855
37019020504,"Census Tract 205.04, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,76,0.04,-1.1859428617728671
37019020510,"Census Tract 205.10, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,209,0.11,-0.03075000827089525
37021000600,"Census Tract 6, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,260,0.13,0.29930509272966827
37021002000,"Census Tract 20, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,749,0.12,0.1342775422293864
37021002606,"Census Tract 26.06, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,590,0.14,0.4643326432299501
37023020201,"Census Tract 202.01, Burke County, North Carolina",37023,Burke,Burke County,1005,0.15,0.6293601937302316
37097061408,"Census Tract 614.08, Iredell County, North Carolina",37097,Iredell,Iredell County,138,0.03,-1.350970412273149
37099950700,"Census Tract 9507, Jackson County, North Carolina",37099,Jackson,Jackson County,345,0.13,0.29930509272966827
37101041502,"Census Tract 415.02, Johnston County, North Carolina",37101,Johnston,Johnston County,591,0.07,-0.690860210272022
37103920100,"Census Tract 9201, Jones County, North Carolina",37103,Jones,Jones County,461,0.13,0.29930509272966827
37105030101,"Census Tract 301.01, Lee County, North Carolina",37105,Lee,Lee County,802,0.16,0.7943877442305134
37109070600,"Census Tract 706, Lincoln County, North Carolina",37109,Lincoln,Lincoln County,441,0.11,-0.03075000827089525
37111970100,"Census Tract 9701, McDowell County, North Carolina",37111,McDowell,McDowell County,569,0.11,-0.03075000827089525
37111970400,"Census Tract 9704, McDowell County, North Carolina",37111,McDowell,McDowell County,578,0.18,1.1244428452310766
37113970200,"Census Tract 9702, Macon County, North Carolina",37113,Macon,Macon County,429,0.11,-0.03075000827089525
37115010200,"Census Tract 102, Madison County, North Carolina",37115,Madison,Madison County,249,0.12,0.1342775422293864
37117970100,"Census Tract 9701, Martin County, North Carolina",37117,Martin,Martin County,237,0.05,-1.0209153112725855
37135011400,"Census Tract 114, Orange County, North Carolina",37135,Orange,Orange County,118,0.03,-1.350970412273149
37135011800,"Census Tract 118, Orange County, North Carolina",37135,Orange,Orange County,287,0.1,-0.1957775587711769
37139960100,"Census Tract 9601, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,357,0.25,2.2796356987330486
37085071303,"Census Tract 713.03, Harnett County, North Carolina",37085,Harnett,Harnett County,441,0.04,-1.1859428617728671
37089930300,"Census Tract 9303, Henderson County, North Carolina",37089,Henderson,Henderson County,1054,0.14,0.4643326432299501
37089930900,"Census Tract 9309, Henderson County, North Carolina",37089,Henderson,Henderson County,364,0.13,0.29930509272966827
37091950100,"Census Tract 9501, Hertford County, North Carolina",37091,Hertford,Hertford County,956,0.13,0.29930509272966827
37093970402,"Census Tract 9704.02, Hoke County, North Carolina",37093,Hoke,Hoke County,597,0.19,1.2894703957313585
37095920100,"Census Tract 9201, Hyde County, North Carolina",37095,Hyde,Hyde County,753,0.16,0.7943877442305134
37081010403,"Census Tract 104.03, Guilford County, North Carolina",37081,Guilford,Guilford County,87,0.05,-1.0209153112725855
37081010900,"Census Tract 109, Guilford County, North Carolina",37081,Guilford,Guilford County,119,0.06,-0.8558877607723039
37081011500,"Census Tract 115, Guilford County, North Carolina",37081,Guilford,Guilford County,414,0.18,1.1244428452310766
37081012604,"Census Tract 126.04, Guilford County, North Carolina",37081,Guilford,Guilford County,780,0.18,1.1244428452310766
37081012610,"Census Tract 126.10, Guilford County, North Carolina",37081,Guilford,Guilford County,663,0.19,1.2894703957313585
37081012707,"Census Tract 127.07, Guilford County, North Carolina",37081,Guilford,Guilford County,501,0.17,0.9594152947307952
37183053719,"Census Tract 537.19, Wake County, North Carolina",37183,Wake,Wake County,192,0.05,-1.0209153112725855
37183054110,"Census Tract 541.10, Wake County, North Carolina",37183,Wake,Wake County,735,0.07,-0.690860210272022
37049960600,"Census Tract 9606, Craven County, North Carolina",37049,Craven,Craven County,1317,0.24,2.114608148232767
37017950100,"Census Tract 9501, Bladen County, North Carolina",37017,Bladen,Bladen County,736,0.14,0.4643326432299501
37017950600,"Census Tract 9506, Bladen County, North Carolina",37017,Bladen,Bladen County,837,0.14,0.4643326432299501
37077970400,"Census Tract 9704, Granville County, North Carolina",37077,Granville,Granville County,291,0.08,-0.5258326597717404
37079950300,"Census Tract 9503, Greene County, North Carolina",37079,Greene,Greene County,920,0.14,0.4643326432299501
37159051204,"Census Tract 512.04, Rowan County, North Carolina",37159,Rowan,Rowan County,436,0.12,0.1342775422293864
37067003805,"Census Tract 38.05, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,662,0.11,-0.03075000827089525
37067004011,"Census Tract 40.11, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,269,0.05,-1.0209153112725855
37035010303,"Census Tract 103.03, Catawba County, North Carolina",37035,Catawba,Catawba County,583,0.13,0.29930509272966827
37151031504,"Census Tract 315.04, Randolph County, North Carolina",37151,Randolph,Randolph County,324,0.06,-0.8558877607723039
37197050300,"Census Tract 503, Yadkin County, North Carolina",37197,Yadkin,Yadkin County,851,0.14,0.4643326432299501
37129011605,"Census Tract 116.05, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,454,0.08,-0.5258326597717404
37071030102,"Census Tract 301.02, Gaston County, North Carolina",37071,Gaston,Gaston County,277,0.07,-0.690860210272022
37071030602,"Census Tract 306.02, Gaston County, North Carolina",37071,Gaston,Gaston County,328,0.15,0.6293601937302316
37071031004,"Census Tract 310.04, Gaston County, North Carolina",37071,Gaston,Gaston County,242,0.09,-0.36080510927145876
37071032702,"Census Tract 327.02, Gaston County, North Carolina",37071,Gaston,Gaston County,137,0.06,-0.8558877607723039
37073970100,"Census Tract 9701, Gates County, North Carolina",37073,Gates,Gates County,367,0.09,-0.36080510927145876
37075920300,"Census Tract 9203, Graham County, North Carolina",37075,Graham,Graham County,790,0.22,1.7845530472322035
37081014412,"Census Tract 144.12, Guilford County, North Carolina",37081,Guilford,Guilford County,290,0.11,-0.03075000827089525
37081015707,"Census Tract 157.07, Guilford County, North Carolina",37081,Guilford,Guilford County,471,0.07,-0.690860210272022
37155961000,"Census Tract 9610, Robeson County, North Carolina",37155,Robeson,Robeson County,297,0.15,0.6293601937302316
37157040400,"Census Tract 404, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,920,0.15,0.6293601937302316
37157041200,"Census Tract 412, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,589,0.12,0.1342775422293864
37159050300,"Census Tract 503, Rowan County, North Carolina",37159,Rowan,Rowan County,491,0.15,0.6293601937302316
37025041902,"Census Tract 419.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,701,0.16,0.7943877442305134
37025042101,"Census Tract 421.01, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,768,0.24,2.114608148232767
37025042602,"Census Tract 426.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,616,0.15,0.6293601937302316
37027031403,"Census Tract 314.03, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,395,0.16,0.7943877442305134
37031970304,"Census Tract 9703.04, Carteret County, North Carolina",37031,Carteret,Carteret County,116,0.06,-0.8558877607723039
37031970504,"Census Tract 9705.04, Carteret County, North Carolina",37031,Carteret,Carteret County,242,0.14,0.4643326432299501
37031970902,"Census Tract 9709.02, Carteret County, North Carolina",37031,Carteret,Carteret County,80,0.06,-0.8558877607723039
37031990100,"Census Tract 9901, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,-1.846053063773994
37119005710,"Census Tract 57.10, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,717,0.15,0.6293601937302316
37133000103,"Census Tract 1.03, Onslow County, North Carolina",37133,Onslow,Onslow County,353,0.07,-0.690860210272022
37133000402,"Census Tract 4.02, Onslow County, North Carolina",37133,Onslow,Onslow County,620,0.1,-0.1957775587711769
37133001700,"Census Tract 17, Onslow County, North Carolina",37133,Onslow,Onslow County,283,0.13,0.29930509272966827
37133002202,"Census Tract 22.02, Onslow County, North Carolina",37133,Onslow,Onslow County,496,0.13,0.29930509272966827
37163970900,"Census Tract 9709, Sampson County, North Carolina",37163,Sampson,Sampson County,299,0.08,-0.5258326597717404
37167931201,"Census Tract 9312.01, Stanly County, North Carolina",37167,Stanly,Stanly County,607,0.1,-0.1957775587711769
37169070503,"Census Tract 705.03, Stokes County, North Carolina",37169,Stokes,Stokes County,896,0.14,0.4643326432299501
37171930901,"Census Tract 9309.01, Surry County, North Carolina",37171,Surry,Surry County,512,0.12,0.1342775422293864
37173960301,"Census Tract 9603.01, Swain County, North Carolina",37173,Swain,Swain County,404,0.13,0.29930509272966827
37177960100,"Census Tract 9601, Tyrrell County, North Carolina",37177,Tyrrell,Tyrrell County,560,0.16,0.7943877442305134
37119005308,"Census Tract 53.08, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1116,0.43,5.250131607738119
37119005621,"Census Tract 56.21, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,213,0.05,-1.0209153112725855
37001021702,"Census Tract 217.02, Alamance County, North Carolina",37001,Alamance,Alamance County,165,0.03,-1.350970412273149
37003040700,"Census Tract 407, Alexander County, North Carolina",37003,Alexander,Alexander County,678,0.1,-0.1957775587711769
37013930300,"Census Tract 9303, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,539,0.14,0.4643326432299501
37037020105,"Census Tract 201.05, Chatham County, North Carolina",37037,Chatham,Chatham County,165,0.03,-1.350970412273149
37037020600,"Census Tract 206, Chatham County, North Carolina",37037,Chatham,Chatham County,747,0.13,0.29930509272966827
37039930300,"Census Tract 9303, Cherokee County, North Carolina",37039,Cherokee,Cherokee County,426,0.16,0.7943877442305134
37063002018,"Census Tract 20.18, Durham County, North Carolina",37063,Durham,Durham County,609,0.06,-0.8558877607723039
37063002022,"Census Tract 20.22, Durham County, North Carolina",37063,Durham,Durham County,424,0.09,-0.36080510927145876
37065021000,"Census Tract 210, Edgecombe County, North Carolina",37065,Edgecombe,Edgecombe County,328,0.11,-0.03075000827089525
37065021300,"Census Tract 213, Edgecombe County, North Carolina",37065,Edgecombe,Edgecombe County,641,0.14,0.4643326432299501
37067000200,"Census Tract 2, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,348,0.3,3.104773451234457
37067001000,"Census Tract 10, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,459,0.11,-0.03075000827089525
