tract_geoid,tract_name,county_geoid,county_name,county_full_name,broadband_total,broadband_rate,acs_broadband_score
37085070901,"Census Tract 709.01, Harnett County, North Carolina",37085,Harnett,Harnett County,882,0.77,-0.7336131265566673
37025042102,"Census Tract 421.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,1020,0.78,-0.7900765654146878
37027030100,"Census Tract 301, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,1212,0.52,0.6779728448938431
37031970503,"Census Tract 9705.03, Carteret County, North Carolina",37031,Carteret,Carteret County,770,0.74,-0.564222809982606
37031980100,"Census Tract 9801, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,3.614071665510905
37035010600,"Census Tract 106, Catawba County, North Carolina",37035,Catawba,Catawba County,1596,0.64,4.1157859759813554e-4
37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001,Alamance,Alamance County,769,0.51,0.73443628375186365
37001021000,"Census Tract 210, Alamance County, North Carolina",37001,Alamance,Alamance County,792,0.49,0.8473631614679046
37013930200,"Census Tract 9302, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,1322,0.55,0.5085825283197818
37013930800,"Census Tract 9308, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,357,0.34,1.6943147443382107
37015960300,"Census Tract 9603, Bertie County, North Carolina",37015,Bertie,Bertie County,409,0.29,1.976631938628313
37071032600,"Census Tract 326, Gaston County, North Carolina",37071,Gaston,Gaston County,1214,0.8,-0.9030034431307288
37071032900,"Census Tract 329, Gaston County, North Carolina",37071,Gaston,Gaston County,805,0.59,0.2827287728877005
37073970200,"Census Tract 9702, Gates County, North Carolina",37073,Gates,Gates County,812,0.55,0.5085825283197818
37075920100,"Census Tract 9201, Graham County, North Carolina",37075,Graham,Graham County,457,0.48,0.9038266003259251
37081010100,"Census Tract 101, Guilford County, North Carolina",37081,Guilford,Guilford County,201,0.32,1.8072416220542518
37081010401,"Census Tract 104.01, Guilford County, North Carolina",37081,Guilford,Guilford County,599,0.79,-0.8465400042727084
37081011905,"Census Tract 119.05, Guilford County, North Carolina",37081,Guilford,Guilford County,829,0.48,0.9038266003259251
37063002300,"Census Tract 23, Durham County, North Carolina",37063,Durham,Durham County,181,0.47,0.9602900391839455
37067000700,"Census Tract 7, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,349,0.36,1.5813878666221701
37067001902,"Census Tract 19.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,593,0.68,-0.22544217683448375
37067003106,"Census Tract 31.06, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,863,0.76,-0.6771496876986469
37067003908,"Census Tract 39.08, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,990,0.83,-1.0723937597047897
37081012612,"Census Tract 126.12, Guilford County, North Carolina",37081,Guilford,Guilford County,1502,0.59,0.2827287728877005
37081014408,"Census Tract 144.08, Guilford County, North Carolina",37081,Guilford,Guilford County,399,0.49,0.8473631614679046
37071030203,"Census Tract 302.03, Gaston County, North Carolina",37071,Gaston,Gaston County,633,0.66,-0.11251529911844281
37071031900,"Census Tract 319, Gaston County, North Carolina",37071,Gaston,Gaston County,394,0.4,1.3555341111900883
37085070902,"Census Tract 709.02, Harnett County, North Carolina",37085,Harnett,Harnett County,654,0.6,0.22626533402968002
37087920102,"Census Tract 9201.02, Haywood County, North Carolina",37087,Haywood,Haywood County,592,0.38,1.468460988906129
37155960900,"Census Tract 9609, Robeson County, North Carolina",37155,Robeson,Robeson County,534,0.65,-0.05605186026042234
37157040300,"Census Tract 403, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,1059,0.63,0.056875017455618605
37159051202,"Census Tract 512.02, Rowan County, North Carolina",37159,Rowan,Rowan County,911,0.68,-0.22544217683448375
37049960403,"Census Tract 9604.03, Craven County, North Carolina",37049,Craven,Craven County,1404,0.83,-1.0723937597047897
37051000702,"Census Tract 7.02, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,668,0.71,-0.39483249340854454
37051002100,"Census Tract 21, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,1069,0.61,0.16980189517165956
37051003309,"Census Tract 33.09, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,2271,0.82,-1.0159303208467692
37051003407,"Census Tract 34.07, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,32,0.57,0.3956556506037414
37055970502,"Census Tract 9705.02, Dare County, North Carolina",37055,Dare,Dare County,1228,0.68,-0.22544217683448375
37055990100,"Census Tract 9901, Dare County, North Carolina",37055,Dare,Dare County,0,0,3.614071665510905
37057061300,"Census Tract 613, Davidson County, North Carolina",37057,Davidson,Davidson County,497,0.56,0.45211908946176127
37063000102,"Census Tract 1.02, Durham County, North Carolina",37063,Durham,Durham County,1195,0.65,-0.05605186026042234
37063000301,"Census Tract 3.01, Durham County, North Carolina",37063,Durham,Durham County,828,0.71,-0.39483249340854454
37149920303,"Census Tract 9203.03, Polk County, North Carolina",37149,Polk,Polk County,599,0.66,-0.11251529911844281
37153970900,"Census Tract 9709, Richmond County, North Carolina",37153,Richmond,Richmond County,1449,0.68,-0.22544217683448375
37165010102,"Census Tract 101.02, Scotland County, North Carolina",37165,Scotland,Scotland County,1028,0.48,0.9038266003259251
37171930101,"Census Tract 9301.01, Surry County, North Carolina",37171,Surry,Surry County,445,0.55,0.5085825283197818
37179020203,"Census Tract 202.03, Union County, North Carolina",37179,Union,Union County,1136,0.78,-0.7900765654146878
37183050300,"Census Tract 503, Wake County, North Carolina",37183,Wake,Wake County,1575,0.72,-0.451295932266565
37183051000,"Census Tract 510, Wake County, North Carolina",37183,Wake,Wake County,1006,0.69,-0.2819056156925036
37183052404,"Census Tract 524.04, Wake County, North Carolina",37183,Wake,Wake County,1481,0.93,-1.6370281482849942
37183052705,"Census Tract 527.05, Wake County, North Carolina",37183,Wake,Wake County,1460,0.76,-0.6771496876986469
37183053203,"Census Tract 532.03, Wake County, North Carolina",37183,Wake,Wake County,2361,0.89,-1.4111743928529124
37127010601,"Census Tract 106.01, Nash County, North Carolina",37127,Nash,Nash County,816,0.85,-1.1853206374208305
37063002023,"Census Tract 20.23, Durham County, North Carolina",37063,Durham,Durham County,1189,0.88,-1.354710953994892
37129012010,"Census Tract 120.10, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,1828,0.86,-1.241784076278851
37179020313,"Census Tract 203.13, Union County, North Carolina",37179,Union,Union County,567,0.66,-0.11251529911844281
37179020501,"Census Tract 205.01, Union County, North Carolina",37179,Union,Union County,1135,0.6,0.22626533402968002
37181960500,"Census Tract 9605, Vance County, North Carolina",37181,Vance,Vance County,695,0.39,1.4119975500481088
37133000403,"Census Tract 4.03, Onslow County, North Carolina",37133,Onslow,Onslow County,525,0.72,-0.451295932266565
37133000800,"Census Tract 8, Onslow County, North Carolina",37133,Onslow,Onslow County,505,0.88,-1.354710953994892
37133002500,"Census Tract 25, Onslow County, North Carolina",37133,Onslow,Onslow County,830,0.69,-0.2819056156925036
37133990100,"Census Tract 9901, Onslow County, North Carolina",37133,Onslow,Onslow County,0,0,3.614071665510905
37135011601,"Census Tract 116.01, Orange County, North Carolina",37135,Orange,Orange County,0,0,3.614071665510905
37139960200,"Census Tract 9602, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,840,0.65,-0.05605186026042234
37147000100,"Census Tract 1, Pitt County, North Carolina",37147,Pitt,Pitt County,1231,0.49,0.8473631614679046
37149920200,"Census Tract 9202, Polk County, North Carolina",37149,Polk,Polk County,1007,0.52,0.6779728448938431
37129010100,"Census Tract 101, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,622,0.64,4.1157859759813554e-4
37129011606,"Census Tract 116.06, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,1375,0.74,-0.564222809982606
