tract_geoid,tract_name,county_geoid,county_name,county_full_name,depend_ratio,depend_score
37085070901,"Census Tract 709.01, Harnett County, North Carolina",37085,Harnett,Harnett County,0.45,0.4284594374080211
37025042102,"Census Tract 421.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,0.58,1.533293166527656
37027030100,"Census Tract 301, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,0.47,0.59843385727258
37031970503,"Census Tract 9705.03, Carteret County, North Carolina",37031,Carteret,Carteret County,0.32,-0.676374291711614
37031980100,"Census Tract 9801, Carteret County, North Carolina",37031,Carteret,Carteret County,0,-3.395965009544562
37035010600,"Census Tract 106, Catawba County, North Carolina",37035,Catawba,Catawba County,0.47,0.59843385727258
37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001,Alamance,Alamance County,0.54,1.193344326798538
37001021000,"Census Tract 210, Alamance County, North Carolina",37001,Alamance,Alamance County,0.52,1.0233699069339786
37013930200,"Census Tract 9302, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,0.34,-0.5063998718470546
37013930800,"Census Tract 9308, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,0.38,-0.16645103211793627
37015960300,"Census Tract 9603, Bertie County, North Carolina",37015,Bertie,Bertie County,0.39,-0.08146382218565658
37071032600,"Census Tract 326, Gaston County, North Carolina",37071,Gaston,Gaston County,0.53,1.1083571168662583
37071032900,"Census Tract 329, Gaston County, North Carolina",37071,Gaston,Gaston County,0.48,0.6834210672048597
37073970200,"Census Tract 9702, Gates County, North Carolina",37073,Gates,Gates County,0.45,0.4284594374080211
37075920100,"Census Tract 9201, Graham County, North Carolina",37075,Graham,Graham County,0.31,-0.7613615016438937
37081010100,"Census Tract 101, Guilford County, North Carolina",37081,Guilford,Guilford County,0.59,1.6182803764599354
37081010401,"Census Tract 104.01, Guilford County, North Carolina",37081,Guilford,Guilford County,0.29,-0.9313359215084531
37081011905,"Census Tract 119.05, Guilford County, North Carolina",37081,Guilford,Guilford County,0.54,1.193344326798538
37063002300,"Census Tract 23, Durham County, North Carolina",37063,Durham,Durham County,0.41,0.08851059767890235
37067000700,"Census Tract 7, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,0.45,0.4284594374080211
37067001902,"Census Tract 19.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,0.3,-0.8463487115761734
37067003106,"Census Tract 31.06, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,0.3,-0.8463487115761734
37067003908,"Census Tract 39.08, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,0.44,0.34347222747574147
37081012612,"Census Tract 126.12, Guilford County, North Carolina",37081,Guilford,Guilford County,0.47,0.59843385727258
37081014408,"Census Tract 144.08, Guilford County, North Carolina",37081,Guilford,Guilford County,0.56,1.3633187466630974
37071030203,"Census Tract 302.03, Gaston County, North Carolina",37071,Gaston,Gaston County,0.36,-0.3364254519824957
37071031900,"Census Tract 319, Gaston County, North Carolina",37071,Gaston,Gaston County,0.35,-0.4214126619147754
37085070902,"Census Tract 709.02, Harnett County, North Carolina",37085,Harnett,Harnett County,0.47,0.59843385727258
37087920102,"Census Tract 9201.02, Haywood County, North Carolina",37087,Haywood,Haywood County,0.38,-0.16645103211793627
37155960900,"Census Tract 9609, Robeson County, North Carolina",37155,Robeson,Robeson County,0.46,0.5134466473403009
37157040300,"Census Tract 403, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,0.42,0.17349780761118205
37159051202,"Census Tract 512.02, Rowan County, North Carolina",37159,Rowan,Rowan County,0.45,0.4284594374080211
37049960403,"Census Tract 9604.03, Craven County, North Carolina",37049,Craven,Craven County,0.53,1.1083571168662583
37051000702,"Census Tract 7.02, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,0.56,1.3633187466630974
37051002100,"Census Tract 21, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,0.38,-0.16645103211793627
37051003309,"Census Tract 33.09, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,0.31,-0.7613615016438937
37051003407,"Census Tract 34.07, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,0.06,-2.886041749950884
37055970502,"Census Tract 9705.02, Dare County, North Carolina",37055,Dare,Dare County,0.39,-0.08146382218565658
37055990100,"Census Tract 9901, Dare County, North Carolina",37055,Dare,Dare County,0,-3.395965009544562
37057061300,"Census Tract 613, Davidson County, North Carolina",37057,Davidson,Davidson County,0.49,0.7684082771371394
37063000102,"Census Tract 1.02, Durham County, North Carolina",37063,Durham,Durham County,0.28,-1.0163231314407324
